epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.771,1.2066,2.21429,1.04247,0.90535,0.86972,0.90804,0.60641,1.10459,1.90073,0.95323,0.000661499,0.000661499,0.000661499
2,165.648,1.11285,1.21216,0.98828,0.91376,0.87706,0.91876,0.60505,1.0563,1.14906,0.97757,0.00131502,0.00131502,0.00131502
3,225.308,1.1441,0.94504,0.99059,0.89447,0.84771,0.90799,0.60409,1.11421,1.00495,0.993,0.00195533,0.00195533,0.00195533
4,285.238,1.09214,0.79713,0.97919,0.91315,0.87706,0.93275,0.63,1.10414,0.8032,1.0061,0.0019406,0.0019406,0.0019406
5,344.368,1.05215,0.72756,0.96186,0.9433,0.88534,0.94093,0.64299,1.06848,0.73099,0.99123,0.0019208,0.0019208,0.0019208
6,404.277,1.03139,0.69889,0.95273,0.92561,0.90642,0.94062,0.67121,0.99822,0.69329,0.95261,0.001901,0.001901,0.001901
7,465.447,1.00451,0.6635,0.95679,0.93086,0.90826,0.95471,0.68211,0.97902,0.61545,0.9522,0.0018812,0.0018812,0.0018812
8,526.522,0.98625,0.63303,0.93815,0.92599,0.91376,0.95113,0.655,1.01089,0.68567,0.95469,0.0018614,0.0018614,0.0018614
9,586.636,0.96472,0.61212,0.92724,0.93085,0.88624,0.94159,0.67804,0.96471,0.60621,0.94153,0.0018416,0.0018416,0.0018416
10,646.936,0.95469,0.60504,0.93283,0.93316,0.92213,0.96201,0.7014,0.91539,0.56626,0.92268,0.0018218,0.0018218,0.0018218
11,707.11,0.93553,0.58228,0.92065,0.94355,0.91193,0.94791,0.68965,0.93011,0.55499,0.93007,0.001802,0.001802,0.001802
12,766.682,0.9272,0.58145,0.92177,0.93107,0.91696,0.95888,0.69547,0.93281,0.54771,0.93315,0.0017822,0.0017822,0.0017822
